Date,Open,High,Low,Close,Volume,Adj Close
9/23/2015,194.110001,194.669998,192.910004,193.600006,91273100,193.600006
9/22/2015,193.880005,194.460007,192.559998,193.899994,153890900,193.899994
9/21/2015,196.440002,197.679993,195.210007,196.440002,105726200,196.440002
9/18/2015,195.710007,198.679993,194.960007,195.360001,223657500,195.360001
9/17/2015,200.020004,202.889999,199.279999,199.699997,276046600,198.667003
9/16/2015,198.820007,200.410004,198.410004,200.139999,99581600,199.104729
9/15/2015,196.610001,198.990005,195.960007,198.449997,113806200,197.423469
9/14/2015,196.949997,197.009995,195.429993,195.979996,79452000,194.966244
9/11/2015,195.380005,196.820007,194.529999,196.809998,119691200,195.791953
9/10/2015,194.559998,197.220001,194.25,195.850006,158611100,194.836927
9/9/2015,199.320007,199.470001,194.350006,194.759995,149347700,193.752554
9/8/2015,195.940002,197.610001,195.169998,197.460007,116025700,196.4386
9/4/2015,192.850006,193.860001,191.610001,192.589996,207081000,191.59378
9/3/2015,196.259995,198.050003,194.960007,195.649994,152087800,194.637949
9/2/2015,194.619995,195.460007,191.770004,195.360001,160269300,194.349456
9/1/2015,193.119995,194.770004,190.729996,191.919998,256000400,190.927248
8/31/2015,198.110001,199.130005,197.009995,197.539993,163298800,196.518172
8/28/2015,198.5,199.839996,197.919998,199.240005,160414400,198.209391
8/27/2015,197.020004,199.419998,195.210007,199.160004,274143900,198.129803
8/26/2015,192.080002,194.789993,188.369995,194.679993,339257000,193.672966
8/25/2015,195.429993,195.449997,186.919998,187.229996,369833100,186.261506
8/24/2015,197.630005,197.630005,182.399994,189.550003,507244300,188.569512
8/21/2015,201.729996,203.940002,197.520004,197.630005,346588500,196.607718
8/20/2015,206.509995,208.289993,203.899994,204.009995,194327900,202.954706
8/19/2015,209.089996,210.009995,207.350006,208.279999,167316300,207.202623
8/18/2015,210.259995,210.679993,209.699997,209.929993,71692700,208.844082
8/17/2015,208.710007,210.589996,208.160004,210.559998,79072600,209.470828
8/14/2015,208.429993,209.509995,208.259995,209.360001,72786500,208.277038
8/13/2015,208.729996,209.550003,208.009995,208.699997,89383300,207.620448
8/12/2015,207.110001,209.139999,205.360001,208.830002,168996000,207.749781
8/11/2015,208.970001,209.470001,207.759995,208.660004,126081400,207.580662
8/10/2015,209.279999,210.669998,209.279999,210.630005,80270700,209.540473
8/7/2015,208.160004,208.339996,206.869995,207.919998,117858000,206.844484
8/6/2015,210.289993,210.419998,207.649994,208.350006,116030800,207.272268
8/5/2015,210.449997,211.309998,209.729996,210.100006,85786800,209.013216
8/4/2015,209.699997,210.25,208.800003,209.320007,81820800,208.237252
8/3/2015,210.460007,210.529999,208.649994,209.729996,113965700,208.645119
7/31/2015,211.419998,211.449997,210.160004,210.449997,103266900,209.361396
7/30/2015,210.160004,211.020004,209.419998,210.820007,91304400,209.729492
7/29/2015,209.479996,211.039993,209.309998,210.770004,105791300,209.679748
7/28/2015,207.789993,209.5,206.800003,209.309998,123544800,208.227294
7/27/2015,208,208,206.259995,206.740005,132361100,205.670595
7/24/2015,210.300003,210.369995,207.600006,207.940002,117755000,206.864385
7/23/2015,211.529999,211.649994,209.75,210.139999,90509100,209.053002
7/22/2015,210.929993,211.770004,210.889999,211.289993,88667900,210.197047
7/21/2015,212.429993,212.740005,211.389999,211.759995,77965000,210.664617
7/20/2015,212.75,213.179993,212.210007,212.619995,70446800,211.520169
7/17/2015,212.289993,212.550003,211.800003,212.470001,89030000,211.370951
7/16/2015,211.869995,212.300003,211.580002,212.270004,106683300,211.171989
7/15/2015,210.729996,211.279999,210.039993,210.630005,97914100,209.540473
7/14/2015,209.720001,211.050003,209.649994,210.720001,81709600,209.630004
7/13/2015,208.990005,209.899994,208.940002,209.759995,106069400,208.674963
7/10/2015,207.289993,207.979996,204.949997,207.479996,129456900,206.406758
7/9/2015,207.039993,207.350006,204.770004,204.800003,139210600,203.740628
7/8/2015,206.419998,206.759995,204.25,204.529999,164020100,203.47202
7/7/2015,206.960007,208.169998,204.110001,208.009995,173820200,206.934015
7/6/2015,205.770004,207.649994,205.529999,206.669998,117975400,205.60095
7/2/2015,208.070007,208.270004,206.809998,207.320007,104373700,206.247597
7/1/2015,207.729996,208.029999,206.559998,207.570007,135979900,206.496304
6/30/2015,207.259995,207.320007,205.279999,205.889999,182925100,204.824986
6/29/2015,208.050003,209.830002,205.330002,205.470001,202621300,204.40716
6/26/2015,210.289993,210.580002,209.160004,209.899994,104174800,208.814238
6/25/2015,211.100006,211.25,209.770004,209.830002,97107400,208.744608
6/24/2015,211.720001,212.169998,210.470001,210.509995,92307300,209.421083
6/23/2015,212.139999,212.440002,211.570007,212.050003,68476800,210.953126
6/22/2015,211.910004,212.589996,211.639999,211.889999,70696000,210.79395
6/19/2015,211.460007,211.550003,210.360001,210.809998,130478700,209.719534
6/18/2015,211.309998,213.339996,210.630005,212.710007,165867900,210.585039
6/17/2015,210.589996,211.320007,209.360001,210.589996,126708600,208.486207
6/16/2015,208.929993,210.350006,208.720001,210.25,85308200,208.149607
6/15/2015,208.639999,209.449997,207.789993,209.100006,124384200,207.011102
6/12/2015,210.639999,211.479996,209.679993,209.929993,135382400,207.832797
6/11/2015,211.479996,212.089996,211.199997,211.649994,73876400,209.535615
6/10/2015,209.369995,211.410004,209.300003,210.960007,134551300,208.852521
6/9/2015,208.449997,209.100006,207.690002,208.449997,105034700,206.367586
6/8/2015,209.639999,209.820007,208.389999,208.419998,89063300,206.337887
6/5/2015,209.949997,210.580002,208.979996,209.770004,121704700,207.674407
6/4/2015,211.070007,211.860001,209.75,210.130005,151882800,208.030811
6/3/2015,212,212.669998,211.330002,211.919998,86954600,209.802922
6/2/2015,211.020004,212.190002,210.270004,211.360001,91531000,209.248519
6/1/2015,211.940002,212.339996,210.619995,211.570007,93338800,209.456428
5/29/2015,212.380005,212.429993,210.820007,211.139999,124919600,209.030716
5/28/2015,212.330002,212.589996,211.630005,212.460007,74974600,210.337536
5/27/2015,211.25,212.979996,210.759995,212.699997,93214000,210.575129
5/26/2015,212.399994,212.910004,210.199997,210.699997,124308600,208.595109
5/22/2015,213.039993,213.539993,212.910004,212.990005,57433500,210.86224
5/21/2015,212.710007,213.75,212.509995,213.5,64764600,211.36714
5/20/2015,213.149994,213.779999,212.5,212.880005,76857500,210.753339
5/19/2015,213.240005,213.570007,212.690002,213.029999,72114600,210.901834
5/18/2015,212.240005,213.399994,212.160004,213.100006,74549700,210.971142
5/15/2015,212.440002,212.610001,211.860001,212.440002,76510100,210.317732
5/14/2015,211.240005,212.320007,210.910004,212.210007,95934000,210.090034
5/13/2015,210.470001,211.220001,209.740005,210.020004,94667900,207.921909
5/12/2015,209.610001,210.630005,208.619995,209.979996,119727600,207.8823
5/11/2015,211.570007,211.889999,210.520004,210.610001,75708100,208.506012
5/8/2015,210.880005,211.860001,210.779999,211.619995,155877300,209.505916
5/7/2015,207.919998,209.380005,207.520004,208.869995,88244900,206.783389
5/6/2015,209.559998,209.929993,206.759995,208.039993,135060200,205.961679
5/5/2015,211.029999,211.460007,208.729996,208.899994,113326200,206.813088
5/4/2015,211.229996,212.020004,211.100006,211.320007,70927200,209.208925
5/1/2015,209.399994,210.770004,209.279999,210.720001,103399700,208.614913
4/30/2015,209.880005,210.350006,207.619995,208.460007,161304900,206.377496
4/29/2015,211.440002,211.440002,209.600006,210.570007,125684900,208.466418
4/28/2015,210.740005,211.5,209.330002,211.440002,86863500,209.327722
4/27/2015,212.330002,212.479996,210.539993,210.770004,79358100,208.664417
4/24/2015,211.660004,211.970001,211.110001,211.649994,61327400,209.535615
4/23/2015,210.149994,211.940002,210.009995,211.160004,102585900,209.05052
4/22/2015,210.009995,210.850006,208.899994,210.630005,78264600,208.525816
4/21/2015,209.850006,210.860001,209.240005,209.600006,72559800,207.506107
4/20/2015,209.059998,210.25,208.960007,209.850006,92189500,207.753609
4/17/2015,208.940002,209.229996,207.009995,207.949997,191113200,205.872581
4/16/2015,210.029999,210.979996,209.789993,210.369995,68934900,208.268404
4/15/2015,210.050003,211.039993,209.949997,210.429993,99529300,208.327802
4/14/2015,208.850006,209.710007,208.100006,209.490005,75099900,207.397205
4/13/2015,209.869995,210.630005,209.029999,209.089996,74436600,207.001192
4/10/2015,209.199997,210.089996,208.960007,210.039993,72722900,207.941699
4/9/2015,207.779999,209.179993,207.190002,208.899994,85548900,206.813088
4/8/2015,207.550003,208.509995,207.080002,207.979996,89351900,205.90228
4/7/2015,207.860001,208.759995,207.240005,207.279999,81236300,205.209276
4/6/2015,206.440002,208.449997,205.210007,207.830002,114368200,205.753785
4/2/2015,205.619995,206.979996,205.399994,206.440002,86900900,204.377672
4/1/2015,206.429993,206.429993,204.509995,205.699997,137303600,203.645059
3/31/2015,207.259995,208.100006,206.360001,206.429993,126768700,204.367762
3/30/2015,206.979996,208.610001,206.960007,208.25,96180400,206.169587
3/27/2015,205.130005,205.949997,204.899994,205.740005,118939000,203.684668
3/26/2015,204.960007,206.369995,204.119995,205.270004,153067200,203.219362
3/25/2015,209.070007,209.350006,205.710007,205.759995,159521700,203.704457
3/24/2015,209.850006,210.399994,208.740005,208.820007,77805300,206.7339
3/23/2015,210.419998,211.110001,210,210,71784500,207.902105
3/20/2015,209.710007,211.020004,209.490005,210.410004,177715100,208.308013
3/19/2015,209.960007,210.470001,209.029999,209.5,117917300,206.485397
3/18/2015,207.389999,211.270004,206.619995,210.460007,228808500,207.431589
3/17/2015,207.690002,208.419998,206.979996,207.960007,94510400,204.967563
